abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y,bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
0.07,0.14,0.274,0.812,1.348,2.323,3.584,2.28,2.74,3.22,4.07,4.27,4.82,5.34
0.11,0.18,0.293,0.812,1.332,2.302,3.612,2.21,2.57,3.07,3.88,4.1,4.62,5.14
0.15,0.23,0.379,1.016,1.571,2.544,3.826,2.08,2.3,2.7,3.57,3.89,4.52,4.95
0.15,0.23,0.375,0.96,1.484,2.416,3.653,2.04,2.24,2.65,3.48,3.61,4.27,4.82
0.15,0.22,0.315,0.766,1.234,2.092,3.285,2.07,2.27,2.75,3.52,3.58,4.36,4.93
0.17,0.22,0.305,0.601,0.964,1.773,2.931,2.1,2.51,3.09,3.75,3.86,4.44,4.95
0.14,0.19,0.272,0.546,0.823,1.596,2.905,2.31,2.65,3.12,3.68,3.8,4.38,4.84
0.13,0.19,0.228,0.469,0.696,1.331,2.468,2.41,2.72,3.13,3.49,3.55,4,4.38
0.15,0.19,0.247,0.422,0.627,1.263,2.51,2.38,2.62,2.84,3.2,3.32,3.71,4.11
0.11,0.16,0.202,0.336,0.495,1.166,2.599,2.36,2.55,2.78,3.15,3.25,3.86,4.36
0.16,0.19,0.257,0.453,0.698,1.466,2.797,2.46,2.6,2.8,3.13,3.19,3.88,4.38
0.12,0.18,0.262,0.593,0.987,2.006,3.294,2.51,2.68,2.89,3.35,3.38,4.08,4.52
0.15,0.16,0.237,0.562,0.957,1.941,3.37,2.85,3.04,3.33,3.84,3.96,4.41,4.72
0.13,0.16,0.237,0.68,1.164,2.138,3.427,2.95,3.14,3.4,3.67,3.84,4.28,4.67
0.09,0.17,0.273,0.821,1.299,2.277,3.47,3.04,3.21,3.42,3.62,3.73,4.11,4.48
0.04,0.09,0.183,0.601,0.992,1.967,3.286,3.07,3.25,3.48,3.66,3.77,4.1,4.48
0.05,0.11,0.158,0.469,0.78,1.699,3.061,3.11,3.24,3.41,3.54,3.59,3.87,4.23
0.01,0.1,0.183,0.458,0.796,1.761,3.16,3.32,3.35,3.56,3.68,3.76,4.01,4.29
0.09,0.15,0.199,0.355,0.537,1.356,2.796,3.36,3.42,3.68,3.8,3.85,4.02,4.2
0.01,0.04,0.097,0.2,0.319,0.962,2.223,3.27,3.33,3.46,3.47,3.49,3.62,3.86
0.02,0.05,0.102,0.243,0.402,0.952,1.915,3.31,3.41,3.49,3.56,3.55,3.66,3.95
-0.02,0.04,0.107,0.238,0.383,0.96,2.113,3.34,3.43,3.51,3.51,3.51,3.63,3.87
0,0.05,0.107,0.254,0.394,0.952,2.068,3.32,3.38,3.39,3.39,3.38,3.49,3.77
0.01,0.06,0.102,0.239,0.354,0.832,1.876,3.36,3.38,3.4,3.38,3.34,3.46,3.79
0.05,0.08,0.112,0.215,0.293,0.705,1.797,3.35,3.36,3.39,3.38,3.38,3.49,3.77
0.08,0.13,0.158,0.293,0.41,0.859,1.971,3.38,3.4,3.43,3.44,3.45,3.55,3.82
0.07,0.13,0.168,0.329,0.501,1.039,2.209,3.43,3.44,3.47,3.53,3.55,3.7,3.96
0.09,0.14,0.173,0.256,0.372,0.808,1.914,3.38,3.4,3.43,3.44,3.45,3.56,3.81
0.07,0.12,0.178,0.262,0.343,0.655,1.558,3.31,3.31,3.31,3.32,3.32,3.43,3.69
0.08,0.15,0.203,0.301,0.394,0.718,1.645,3.29,3.29,3.31,3.3,3.3,3.42,3.62
0.1,0.13,0.157,0.211,0.279,0.581,1.468,2.84,2.84,2.84,2.85,2.85,2.97,3.14
0.07,0.13,0.157,0.221,0.29,0.59,1.548,2.84,2.83,2.81,2.78,2.76,2.86,3.02
0.09,0.13,0.152,0.23,0.306,0.625,1.634,2.84,2.84,2.84,2.83,2.79,2.87,3.02
0.11,0.15,0.168,0.281,0.381,0.721,1.69,2.74,2.75,2.77,2.78,2.77,2.84,2.96
0.08,0.13,0.168,0.246,0.322,0.617,1.616,2.78,2.8,2.84,2.84,2.84,2.91,3.03
0.04,0.11,0.137,0.247,0.351,0.723,1.757,2.74,2.76,2.78,2.82,2.82,2.97,3.16
