Date,kospi200,krxesg150,kbond3m,kbond6m,kbond1y,kbond2y,kbond3y,kbond5y,kbond10y,msciacwi,msciesg,abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y
2010-01-01,"1,682.77 ",,2.34 ,2.85 ,3.48,4.36,4.41,4.92,5.39,299.44 ,72.81 ,0.06 ,0.19 ,0.435 ,1.136 ,1.671 ,2.679 ,3.835 
2010-01-02,"1,682.77 ",,2.34 ,2.85 ,3.48,4.36,4.41,4.92,5.39,299.44 ,72.81 ,0.06 ,0.19 ,0.435 ,1.136 ,1.671 ,2.679 ,3.835 
2010-01-03,"1,682.77 ",,2.34 ,2.85 ,3.48,4.36,4.41,4.92,5.39,299.44 ,72.81 ,0.06 ,0.19 ,0.435 ,1.136 ,1.671 ,2.679 ,3.835 
2010-01-04,"1,696.14 ","1,000.00 ",2.35 ,2.86 ,3.5,4.39,4.44,4.98,5.43,304.69 ,74.05 ,0.05 ,0.17 ,0.400 ,1.064 ,1.611 ,2.635 ,3.816 
2010-01-05,"1,690.62 ",997.52 ,2.31 ,2.81 ,3.43,4.29,4.36,4.9,5.35,305.89 ,74.24 ,0.06 ,0.15 ,0.369 ,1.008 ,1.551 ,2.561 ,3.761 
2010-01-06,"1,705.32 ","1,010.67 ",2.31 ,2.82 ,3.46,4.34,4.43,4.94,5.38,306.29 ,74.19 ,0.05 ,0.14 ,0.356 ,0.992 ,1.557 ,2.591 ,3.822 
2010-01-07,"1,683.45 ","1,006.56 ",2.28 ,2.77 ,3.39,4.25,4.32,4.84,5.29,305.87 ,74.08 ,0.04 ,0.15 ,0.364 ,1.024 ,1.579 ,2.612 ,3.824 
2010-01-08,"1,695.26 ","1,016.32 ",2.28 ,2.76 ,3.38,4.24,4.36,4.91,5.36,307.14 ,74.43 ,0.04 ,0.15 ,0.325 ,0.976 ,1.542 ,2.591 ,3.830 
2010-01-09,"1,695.26 ","1,016.32 ",2.28 ,2.76 ,3.38,4.24,4.36,4.91,5.36,307.14 ,74.43 ,0.04 ,0.15 ,0.325 ,0.976 ,1.542 ,2.591 ,3.830 
2010-01-10,"1,695.26 ","1,016.32 ",2.28 ,2.76 ,3.38,4.24,4.36,4.91,5.36,307.14 ,74.43 ,0.04 ,0.15 ,0.325 ,0.976 ,1.542 ,2.591 ,3.830 
2010-01-11,"1,694.12 ","1,019.42 ",2.24 ,2.71 ,3.26,4.13,4.27,4.86,5.38,309.59 ,75.01 ,0.02 ,0.12 ,0.298 ,0.936 ,1.503 ,2.558 ,3.818 
2010-01-12,"1,698.64 ","1,021.38 ",2.23 ,2.70 ,3.24,4.12,4.25,4.81,5.37,307.57 ,74.55 ,0.04 ,0.13 ,0.293 ,0.903 ,1.443 ,2.474 ,3.711 
2010-01-13,"1,671.41 ","1,003.77 ",2.23 ,2.71 ,3.25,4.14,4.26,4.81,5.36,307.71 ,74.67 ,0.05 ,0.14 ,0.354 ,0.960 ,1.541 ,2.537 ,3.791 
2010-01-14,"1,685.77 ","1,011.07 ",2.23 ,2.71 ,3.24,4.13,4.23,4.78,5.34,309.18 ,75.07 ,0.05 ,0.13 ,0.332 ,0.919 ,1.498 ,2.494 ,3.738 
2010-01-15,"1,701.80 ","1,024.94 ",2.24 ,2.72 ,3.25,4.15,4.24,4.8,5.36,306.33 ,74.30 ,0.05 ,0.14 ,0.313 ,0.862 ,1.434 ,2.416 ,3.674 
2010-01-16,"1,701.80 ","1,024.94 ",2.24 ,2.72 ,3.25,4.15,4.24,4.8,5.36,306.33 ,74.30 ,0.05 ,0.14 ,0.313 ,0.862 ,1.434 ,2.416 ,3.674 
2010-01-17,"1,701.80 ","1,024.94 ",2.24 ,2.72 ,3.25,4.15,4.24,4.8,5.36,306.33 ,74.30 ,0.05 ,0.14 ,0.313 ,0.862 ,1.434 ,2.416 ,3.674 
2010-01-18,"1,711.78 ","1,030.48 ",2.25 ,2.74 ,3.27,4.19,4.28,4.84,5.39,306.98 ,74.49 ,0.05 ,0.14 ,0.310 ,0.862 ,1.434 ,2.416 ,3.675 
2010-01-19,"1,710.22 ","1,031.35 ",2.25 ,2.74 ,3.24,4.15,4.24,4.8,5.34,308.15 ,74.71 ,0.04 ,0.13 ,0.305 ,0.886 ,1.456 ,2.446 ,3.692 
2010-01-20,"1,714.38 ","1,026.80 ",2.25 ,2.74 ,3.24,4.15,4.24,4.8,5.34,303.32 ,73.46 ,0.05 ,0.13 ,0.304 ,0.870 ,1.445 ,2.412 ,3.647 
2010-01-21,"1,722.01 ","1,028.35 ",2.25 ,2.75 ,3.24,4.15,4.26,4.81,5.34,298.76 ,72.57 ,0.04 ,0.12 ,0.279 ,0.829 ,1.391 ,2.342 ,3.586 
2010-01-22,"1,684.35 ","1,007.56 ",2.25 ,2.75 ,3.22,4.12,4.24,4.8,5.33,294.29 ,71.54 ,0.04 ,0.13 ,0.274 ,0.788 ,1.370 ,2.341 ,3.607 
2010-01-23,"1,684.35 ","1,007.56 ",2.25 ,2.75 ,3.22,4.12,4.24,4.8,5.33,294.29 ,71.54 ,0.04 ,0.13 ,0.274 ,0.788 ,1.370 ,2.341 ,3.607 
2010-01-24,"1,684.35 ","1,007.56 ",2.25 ,2.75 ,3.22,4.12,4.24,4.8,5.33,294.29 ,71.54 ,0.04 ,0.13 ,0.274 ,0.788 ,1.370 ,2.341 ,3.607 
2010-01-25,"1,670.20 ",993.02 ,2.28 ,2.75 ,3.23,4.12,4.26,4.82,5.35,293.90 ,71.45 ,0.04 ,0.13 ,0.282 ,0.812 ,1.386 ,2.361 ,3.627 
2010-01-26,"1,637.34 ",973.61 ,2.27 ,2.73 ,3.2,4.06,4.21,4.77,5.31,291.83 ,71.07 ,0.06 ,0.14 ,0.285 ,0.803 ,1.380 ,2.341 ,3.619 
2010-01-27,"1,625.48 ",968.96 ,2.27 ,2.74 ,3.22,4.08,4.23,4.8,5.33,290.76 ,70.81 ,0.07 ,0.15 ,0.305 ,0.915 ,1.445 ,2.391 ,3.648 
2010-01-28,"1,642.43 ",980.10 ,2.29 ,2.76 ,3.25,4.14,4.31,4.87,5.38,288.54 ,70.09 ,0.07 ,0.14 ,0.278 ,0.859 ,1.397 ,2.387 ,3.634 
2010-01-29,"1,602.43 ",953.39 ,2.28 ,2.74 ,3.22,4.07,4.27,4.82,5.34,286.33 ,69.64 ,0.07 ,0.14 ,0.274 ,0.812 ,1.348 ,2.323 ,3.584 
2010-01-30,"1,602.43 ",953.39 ,2.28 ,2.74 ,3.22,4.07,4.27,4.82,5.34,286.33 ,69.64 ,0.07 ,0.14 ,0.274 ,0.812 ,1.348 ,2.323 ,3.584 
2010-01-31,"1,602.43 ",953.39 ,2.28 ,2.74 ,3.22,4.07,4.27,4.82,5.34,286.33 ,69.64 ,0.07 ,0.14 ,0.274 ,0.812 ,1.348 ,2.323 ,3.584 
