Date,bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2010-01-29,2.28,2.74,3.22,4.07,4.27,4.82,5.34
2010-02-26,2.21,2.57,3.07,3.88,4.1,4.62,5.14
2010-03-31,2.08,2.3,2.7,3.57,3.89,4.52,4.95
2010-04-30,2.04,2.24,2.65,3.48,3.61,4.27,4.82
2010-05-31,2.07,2.27,2.75,3.52,3.58,4.36,4.93
2010-06-30,2.1,2.51,3.09,3.75,3.86,4.44,4.95
2010-07-30,2.31,2.65,3.12,3.68,3.8,4.38,4.84
2010-08-31,2.41,2.72,3.13,3.49,3.55,4,4.38
2010-09-30,2.38,2.62,2.84,3.2,3.32,3.71,4.11
2010-10-29,2.36,2.55,2.78,3.15,3.25,3.86,4.36
2010-11-30,2.46,2.6,2.8,3.13,3.19,3.88,4.38
2010-12-30,2.51,2.68,2.89,3.35,3.38,4.08,4.52
2011-01-31,2.85,3.04,3.33,3.84,3.96,4.41,4.72
2011-02-28,2.95,3.14,3.4,3.67,3.84,4.28,4.67
2011-03-31,3.04,3.21,3.42,3.62,3.73,4.11,4.48
2011-04-29,3.07,3.25,3.48,3.66,3.77,4.1,4.48
2011-05-31,3.11,3.24,3.41,3.54,3.59,3.87,4.23
2011-06-30,3.32,3.35,3.56,3.68,3.76,4.01,4.29
2011-07-29,3.36,3.42,3.68,3.8,3.85,4.02,4.2
2011-08-31,3.27,3.33,3.46,3.47,3.49,3.62,3.86
2011-09-30,3.31,3.41,3.49,3.56,3.55,3.66,3.95
2011-10-31,3.34,3.43,3.51,3.51,3.51,3.63,3.87
2011-11-30,3.32,3.38,3.39,3.39,3.38,3.49,3.77
2011-12-29,3.36,3.38,3.4,3.38,3.34,3.46,3.79
2012-01-31,3.35,3.36,3.39,3.38,3.38,3.49,3.77
2012-02-29,3.38,3.4,3.43,3.44,3.45,3.55,3.82
2012-03-30,3.43,3.44,3.47,3.53,3.55,3.7,3.96
2012-04-30,3.38,3.4,3.43,3.44,3.45,3.56,3.81
2012-05-31,3.31,3.31,3.31,3.32,3.32,3.43,3.69
2012-06-29,3.29,3.29,3.31,3.3,3.3,3.42,3.62
2012-07-31,2.84,2.84,2.84,2.85,2.85,2.97,3.14
2012-08-31,2.84,2.83,2.81,2.78,2.76,2.86,3.02
2012-09-28,2.84,2.84,2.84,2.83,2.79,2.87,3.02
2012-10-31,2.74,2.75,2.77,2.78,2.77,2.84,2.96
2012-11-30,2.78,2.8,2.84,2.84,2.84,2.91,3.03
2012-12-28,2.74,2.76,2.78,2.82,2.82,2.97,3.16
2013-01-31,2.73,2.74,2.75,2.76,2.76,2.89,3.1
2013-02-28,2.63,2.63,2.63,2.63,2.63,2.74,2.94
2013-03-29,2.54,2.55,2.55,2.54,2.52,2.58,2.8
2013-04-30,2.63,2.62,2.56,2.52,2.49,2.56,2.77
2013-05-31,2.59,2.62,2.66,2.76,2.78,2.9,3.12
2013-06-28,2.58,2.61,2.67,2.85,2.88,3.14,3.4
2013-07-31,2.56,2.6,2.69,2.83,2.92,3.2,3.49
2013-08-30,2.54,2.58,2.65,2.75,2.88,3.17,3.53
2013-09-30,2.53,2.55,2.64,2.76,2.82,3.05,3.42
2013-10-31,2.53,2.58,2.66,2.74,2.81,3.04,3.39
2013-11-29,2.53,2.59,2.69,2.86,3.01,3.35,3.67
2013-12-30,2.56,2.61,2.67,2.79,2.865,3.23,3.585
2014-01-29,2.58,2.63,2.668,2.803,2.885,3.225,3.615
2014-02-28,2.57,2.61,2.65,2.748,2.85,3.126,3.497
2014-03-31,2.58,2.62,2.655,2.786,2.87,3.155,3.52
2014-04-30,2.58,2.62,2.665,2.785,2.87,3.165,3.525
2014-05-30,2.57,2.61,2.655,2.751,2.815,3.035,3.34
2014-06-30,2.57,2.59,2.605,2.65,2.682,2.88,3.172
2014-07-31,2.4,2.39,2.389,2.449,2.516,2.757,3.054
2014-08-29,2.3,2.32,2.349,2.436,2.513,2.736,3.033
2014-09-30,2.18,2.19,2.205,2.237,2.292,2.495,2.852
2014-10-31,2.03,2.05,2.082,2.102,2.145,2.295,2.655
2014-11-28,2.02,2.02,2.027,2.035,2.077,2.23,2.59
2014-12-30,2.07,2.07,2.072,2.092,2.096,2.285,2.605
2015-01-30,1.98,1.98,1.97,1.969,1.969,2.047,2.24
2015-02-27,2,2,2.003,2.023,2.035,2.107,2.355
2015-03-31,1.72,1.72,1.707,1.706,1.717,1.802,2.157
2015-04-30,1.72,1.73,1.752,1.795,1.85,2.05,2.424
2015-05-29,1.69,1.69,1.692,1.72,1.745,1.915,2.305
2015-06-30,1.57,1.58,1.618,1.717,1.795,2.07,2.452
2015-07-31,1.51,1.52,1.574,1.683,1.77,2.032,2.425
2015-08-31,1.53,1.54,1.59,1.665,1.735,1.927,2.295
2015-09-30,1.5,1.51,1.517,1.542,1.565,1.722,2.065
2015-10-30,1.51,1.53,1.564,1.627,1.652,1.795,2.112
2015-11-30,1.65,1.67,1.707,1.768,1.785,1.962,2.247
2015-12-30,1.55,1.58,1.629,1.648,1.66,1.82,2.085
2016-01-29,1.5,1.52,1.546,1.56,1.565,1.7,1.98
2016-02-29,1.46,1.46,1.462,1.456,1.455,1.555,1.787
2016-03-31,1.5,1.5,1.482,1.472,1.446,1.552,1.795
2016-04-29,1.49,1.49,1.477,1.465,1.452,1.55,1.795
2016-05-31,1.49,1.49,1.508,1.51,1.495,1.582,1.81
2016-06-30,1.27,1.29,1.293,1.275,1.247,1.297,1.465
2016-07-29,1.22,1.24,1.257,1.242,1.215,1.235,1.382
2016-08-31,1.26,1.28,1.315,1.325,1.315,1.357,1.483
2016-09-30,1.26,1.31,1.343,1.298,1.25,1.27,1.424
2016-10-31,1.32,1.38,1.417,1.465,1.43,1.497,1.68
2016-11-30,1.53,1.58,1.647,1.71,1.722,1.911,2.15
2016-12-29,1.32,1.45,1.562,1.635,1.64,1.807,2.092
2017-01-31,1.29,1.38,1.493,1.632,1.672,1.85,2.155
2017-02-28,1.28,1.35,1.453,1.6,1.667,1.852,2.157
2017-03-31,1.31,1.38,1.464,1.584,1.67,1.852,2.187
2017-04-28,1.31,1.36,1.449,1.578,1.67,1.862,2.192
2017-05-31,1.27,1.32,1.449,1.571,1.667,1.89,2.237
2017-06-30,1.3,1.33,1.465,1.633,1.7,1.902,2.212
2017-07-31,1.25,1.28,1.399,1.615,1.72,1.925,2.227
2017-08-31,1.25,1.29,1.466,1.662,1.747,1.967,2.267
2017-09-29,1.28,1.35,1.529,1.789,1.887,2.077,2.37
2017-10-31,1.36,1.51,1.814,2.102,2.17,2.402,2.575
2017-11-30,1.51,1.61,1.841,1.993,2.073,2.262,2.477
2017-12-28,1.51,1.63,1.853,2.082,2.134,2.347,2.467
2018-01-31,1.51,1.57,1.84,2.193,2.27,2.566,2.77
2018-02-28,1.51,1.58,1.835,2.131,2.265,2.517,2.735
2018-03-30,1.52,1.64,1.889,2.096,2.217,2.425,2.622
2018-04-30,1.53,1.66,1.845,2.083,2.217,2.49,2.717
2018-05-31,1.55,1.67,1.849,2.082,2.195,2.477,2.695
2018-06-29,1.58,1.65,1.846,2.029,2.122,2.351,2.555
2018-07-31,1.58,1.66,1.825,2.03,2.125,2.362,2.57
2018-08-31,1.54,1.61,1.725,1.803,1.91,2.102,2.31
2018-09-28,1.57,1.66,1.845,1.929,2.002,2.175,2.355
2018-10-31,1.62,1.74,1.803,1.91,1.942,2.075,2.245
2018-11-30,1.75,1.77,1.806,1.88,1.895,1.975,2.11
2018-12-28,1.75,1.75,1.751,1.835,1.823,1.892,1.956
2019-01-31,1.76,1.77,1.773,1.807,1.81,1.885,1.997
2019-02-28,1.75,1.76,1.772,1.828,1.812,1.88,1.985
2019-03-29,1.75,1.75,1.75,1.711,1.69,1.705,1.83
2019-04-30,1.74,1.74,1.735,1.71,1.695,1.727,1.845
2019-05-31,1.62,1.62,1.591,1.577,1.57,1.59,1.669
2019-06-28,1.52,1.5,1.507,1.485,1.465,1.505,1.595
2019-07-31,1.38,1.35,1.282,1.302,1.289,1.32,1.385
2019-08-30,1.25,1.2,1.143,1.22,1.195,1.252,1.295
2019-09-30,1.234,1.255,1.297,1.333,1.297,1.355,1.46
2019-10-31,1.241,1.278,1.372,1.435,1.462,1.586,1.73
2019-11-29,1.25,1.307,1.368,1.375,1.387,1.48,1.635
2019-12-30,1.263,1.302,1.339,1.365,1.355,1.47,1.672
