Date,abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y
2010-01-31,0.07,0.14,0.274,0.812,1.348,2.323,3.584
2010-02-28,0.11,0.18,0.293,0.812,1.332,2.302,3.612
2010-03-31,0.15,0.23,0.379,1.016,1.571,2.544,3.826
2010-04-30,0.15,0.23,0.375,0.96,1.484,2.416,3.653
2010-05-31,0.15,0.22,0.315,0.766,1.234,2.092,3.285
2010-06-30,0.17,0.22,0.305,0.601,0.964,1.773,2.931
2010-07-31,0.14,0.19,0.272,0.546,0.823,1.596,2.905
2010-08-31,0.13,0.19,0.228,0.469,0.696,1.331,2.468
2010-09-30,0.15,0.19,0.247,0.422,0.627,1.263,2.51
2010-10-31,0.11,0.16,0.202,0.336,0.495,1.166,2.599
2010-11-30,0.16,0.19,0.257,0.453,0.698,1.466,2.797
2010-12-31,0.12,0.18,0.262,0.593,0.987,2.006,3.294
2011-01-31,0.15,0.16,0.237,0.562,0.957,1.941,3.37
2011-02-28,0.13,0.16,0.237,0.68,1.164,2.138,3.427
2011-03-31,0.09,0.17,0.273,0.821,1.299,2.277,3.47
2011-04-30,0.04,0.09,0.183,0.601,0.992,1.967,3.286
2011-05-31,0.05,0.11,0.158,0.469,0.78,1.699,3.061
2011-06-30,0.01,0.1,0.183,0.458,0.796,1.761,3.16
2011-07-31,0.09,0.15,0.199,0.355,0.537,1.356,2.796
2011-08-31,0.01,0.04,0.097,0.2,0.319,0.962,2.223
2011-09-30,0.02,0.05,0.102,0.243,0.402,0.952,1.915
2011-10-31,-0.02,0.04,0.107,0.238,0.383,0.96,2.113
2011-11-30,0,0.05,0.107,0.254,0.394,0.952,2.068
2011-12-31,0.01,0.06,0.102,0.239,0.354,0.832,1.876
2012-01-31,0.05,0.08,0.112,0.215,0.293,0.705,1.797
2012-02-29,0.08,0.13,0.158,0.293,0.41,0.859,1.971
2012-03-31,0.07,0.13,0.168,0.329,0.501,1.039,2.209
2012-04-30,0.09,0.14,0.173,0.256,0.372,0.808,1.914
2012-05-31,0.07,0.12,0.178,0.262,0.343,0.655,1.558
2012-06-30,0.08,0.15,0.203,0.301,0.394,0.718,1.645
2012-07-31,0.1,0.13,0.157,0.211,0.279,0.581,1.468
2012-08-31,0.07,0.13,0.157,0.221,0.29,0.59,1.548
2012-09-30,0.09,0.13,0.152,0.23,0.306,0.625,1.634
2012-10-31,0.11,0.15,0.168,0.281,0.381,0.721,1.69
2012-11-30,0.08,0.13,0.168,0.246,0.322,0.617,1.616
2012-12-31,0.04,0.11,0.137,0.247,0.351,0.723,1.757
2013-01-31,0.07,0.11,0.132,0.262,0.402,0.878,1.985
2013-02-28,0.1,0.12,0.152,0.234,0.343,0.761,1.876
2013-03-31,0.07,0.1,0.122,0.242,0.348,0.764,1.849
2013-04-30,0.05,0.08,0.102,0.207,0.306,0.676,1.672
2013-05-31,0.03,0.06,0.127,0.293,0.485,1.018,2.128
2013-06-30,0.03,0.09,0.142,0.355,0.647,1.395,2.486
2013-07-31,0.04,0.07,0.102,0.309,0.59,1.378,2.576
2013-08-31,0.02,0.05,0.112,0.399,0.781,1.641,2.784
2013-09-30,0.01,0.03,0.086,0.317,0.611,1.382,2.61
2013-10-31,0.04,0.08,0.091,0.305,0.569,1.329,2.554
2013-11-30,0.06,0.1,0.117,0.281,0.545,1.37,2.745
2013-12-31,0.07,0.09,0.112,0.38,0.765,1.741,3.028
2014-01-31,0.02,0.05,0.081,0.328,0.664,1.49,2.644
2014-02-28,0.05,0.07,0.102,0.317,0.668,1.502,2.648
2014-03-31,0.03,0.05,0.112,0.418,0.868,1.718,2.718
2014-04-30,0.03,0.04,0.102,0.41,0.851,1.676,2.646
