bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
3.35,3.36,3.38,3.37,3.34,3.4699999999999998,3.79
3.35,3.36,3.38,3.38,3.35,3.49,3.8
3.34,3.36,3.38,3.38,3.35,3.49,3.8
3.34,3.36,3.38,3.37,3.34,3.49,3.79
3.34,3.36,3.38,3.38,3.35,3.5,3.79
3.34,3.36,3.39,3.4,3.38,3.51,3.79
3.34,3.36,3.39,3.4,3.38,3.51,3.79
3.34,3.36,3.39,3.4,3.38,3.5,3.79
3.34,3.36,3.4,3.4,3.38,3.51,3.79
3.34,3.36,3.39,3.39,3.37,3.5,3.79
3.34,3.36,3.38,3.37,3.35,3.48,3.79
3.35,3.37,3.39,3.38,3.37,3.5,3.81
3.35,3.37,3.39,3.37,3.36,3.5,3.8
3.35,3.37,3.39,3.38,3.38,3.51,3.79
3.35,3.37,3.4,3.4,3.4,3.5300000000000002,3.82
3.35,3.37,3.41,3.41,3.42,3.54,3.82
3.35,3.37,3.4,3.4,3.4,3.5300000000000002,3.82
3.35,3.37,3.39,3.39,3.38,3.51,3.8
3.35,3.36,3.38,3.37,3.36,3.48,3.77
3.35,3.36,3.39,3.38,3.38,3.49,3.77
