KOSPI,RKOSPI,ESG,RESG,bond3M,bond6M,bond1Y,bond2Y,bond3Y,bond5Y,bond10Y
1696.14 ,0.000 ,1000.00 ,0.000 ,2.35 ,2.86 ,3.50 ,4.39 ,4.44 ,4.98 ,5.43 
1690.62 ,-0.003 ,997.52 ,-0.002 ,2.31 ,2.81 ,3.43 ,4.29 ,4.36 ,4.90 ,5.35 
1705.32 ,0.009 ,1010.67 ,0.013 ,2.31 ,2.82 ,3.46 ,4.34 ,4.43 ,4.94 ,5.38 
1683.45 ,-0.013 ,1006.56 ,-0.004 ,2.28 ,2.77 ,3.39 ,4.25 ,4.32 ,4.84 ,5.29 
1695.26 ,0.007 ,1016.32 ,0.010 ,2.28 ,2.76 ,3.38 ,4.24 ,4.36 ,4.91 ,5.36 
1694.12 ,-0.001 ,1019.42 ,0.003 ,2.24 ,2.71 ,3.26 ,4.13 ,4.27 ,4.86 ,5.38 
1698.64 ,0.003 ,1021.38 ,0.002 ,2.23 ,2.70 ,3.24 ,4.12 ,4.25 ,4.81 ,5.37 
1671.41 ,-0.016 ,1003.77 ,-0.017 ,2.23 ,2.71 ,3.25 ,4.14 ,4.26 ,4.81 ,5.36 
1685.77 ,0.009 ,1011.07 ,0.007 ,2.23 ,2.71 ,3.24 ,4.13 ,4.23 ,4.78 ,5.34 
1701.80 ,0.010 ,1024.94 ,0.014 ,2.24 ,2.72 ,3.25 ,4.15 ,4.24 ,4.80 ,5.36 
1711.78 ,0.006 ,1030.48 ,0.005 ,2.25 ,2.74 ,3.27 ,4.19 ,4.28 ,4.84 ,5.39 
1710.22 ,-0.001 ,1031.35 ,0.001 ,2.25 ,2.74 ,3.24 ,4.15 ,4.24 ,4.80 ,5.34 
1714.38 ,0.002 ,1026.80 ,-0.004 ,2.25 ,2.74 ,3.24 ,4.15 ,4.24 ,4.80 ,5.34 
1722.01 ,0.004 ,1028.35 ,0.002 ,2.25 ,2.75 ,3.24 ,4.15 ,4.26 ,4.81 ,5.34 
1684.35 ,-0.022 ,1007.56 ,-0.020 ,2.25 ,2.75 ,3.22 ,4.12 ,4.24 ,4.80 ,5.33 
1670.20 ,-0.008 ,993.02 ,-0.014 ,2.28 ,2.75 ,3.23 ,4.12 ,4.26 ,4.82 ,5.35 
1637.34 ,-0.020 ,973.61 ,-0.020 ,2.27 ,2.73 ,3.20 ,4.06 ,4.21 ,4.77 ,5.31 
1625.48 ,-0.007 ,968.96 ,-0.005 ,2.27 ,2.74 ,3.22 ,4.08 ,4.23 ,4.80 ,5.33 
1642.43 ,0.010 ,980.10 ,0.011 ,2.29 ,2.76 ,3.25 ,4.14 ,4.31 ,4.87 ,5.38 
1602.43 ,-0.024 ,953.39 ,-0.027 ,2.28 ,2.74 ,3.22 ,4.07 ,4.27 ,4.82 ,5.34 
1606.44 ,0.003 ,957.53 ,0.004 ,2.28 ,2.74 ,3.22 ,4.09 ,4.30 ,4.85 ,5.36 
1595.81 ,-0.007 ,950.73 ,-0.007 ,2.27 ,2.72 ,3.19 ,4.04 ,4.27 ,4.84 ,5.34 
