bond3M,bond6M,bond1Y,bond2Y,bond3Y,bond5Y,bond10Y
2.34,2.85,3.48,4.36,4.41,4.92,5.39
2.35,2.86,3.5,4.39,4.44,4.98,5.43
2.31,2.81,3.43,4.29,4.36,4.9,5.35
2.31,2.82,3.46,4.34,4.43,4.94,5.38
2.28,2.77,3.39,4.25,4.32,4.84,5.29
2.28,2.76,3.38,4.24,4.36,4.91,5.36
2.24,2.71,3.26,4.13,4.27,4.86,5.38
2.23,2.7,3.24,4.12,4.25,4.81,5.37
2.23,2.71,3.25,4.14,4.26,4.81,5.36
2.23,2.71,3.24,4.13,4.23,4.78,5.34
2.24,2.72,3.25,4.15,4.24,4.8,5.36
2.25,2.74,3.27,4.19,4.28,4.84,5.39
2.25,2.74,3.24,4.15,4.24,4.8,5.34
2.25,2.74,3.24,4.15,4.24,4.8,5.34
2.25,2.75,3.24,4.15,4.26,4.81,5.34
2.25,2.75,3.22,4.12,4.24,4.8,5.33
2.28,2.75,3.23,4.12,4.26,4.82,5.35
2.27,2.73,3.2,4.06,4.21,4.77,5.31
2.27,2.74,3.22,4.08,4.23,4.8,5.33
2.29,2.76,3.25,4.14,4.31,4.87,5.38
2.28,2.74,3.22,4.07,4.27,4.82,5.34
2.28,2.74,3.22,4.09,4.3,4.85,5.36
2.27,2.72,3.19,4.04,4.27,4.84,5.34
2.26,2.71,3.17,4.02,4.27,4.84,5.35
2.25,2.69,3.16,4,4.26,4.84,5.36
2.24,2.67,3.13,4.01,4.22,4.79,5.32
2.24,2.67,3.15,4.05,4.26,4.8,5.35
2.24,2.66,3.14,4.03,4.27,4.82,5.36
2.24,2.66,3.14,4.02,4.27,4.83,5.36
2.23,2.64,3.1,3.96,4.18,4.76,5.31
2.22,2.61,3.06,3.9,4.12,4.72,5.29
2.22,2.6,3.06,3.9,4.12,4.73,5.3
2.22,2.59,3.05,3.9,4.1,4.73,5.3
2.22,2.59,3.06,3.9,4.1,4.72,5.29
2.24,2.62,3.13,3.97,4.18,4.77,5.31
2.24,2.62,3.14,3.99,4.2,4.77,5.3
2.23,2.6,3.12,3.95,4.16,4.75,5.27
2.23,2.59,3.11,3.92,4.14,4.69,5.22
2.21,2.57,3.08,3.87,4.09,4.61,5.13
2.21,2.57,3.07,3.88,4.1,4.62,5.14
2.2,2.55,3.06,3.88,4.11,4.63,5.14
2.18,2.52,3.03,3.85,4.09,4.6,5.11
2.18,2.51,3.02,3.85,4.08,4.56,5.06
2.18,2.51,3.01,3.86,4.1,4.56,5.04
2.18,2.51,3.01,3.87,4.12,4.58,5.04
2.17,2.5,2.99,3.85,4.1,4.59,5.03
2.17,2.5,2.98,3.83,4.08,4.57,5.01
2.14,2.44,2.88,3.71,3.97,4.45,4.89
2.13,2.41,2.85,3.67,3.93,4.39,4.84
2.13,2.41,2.84,3.66,3.93,4.41,4.85
2.12,2.38,2.78,3.59,3.84,4.38,4.83
2.1,2.34,2.73,3.54,3.8,4.35,4.79
2.09,2.32,2.7,3.5,3.76,4.3,4.74
2.09,2.32,2.7,3.49,3.79,4.32,4.72
2.09,2.31,2.69,3.48,3.77,4.26,4.68
2.11,2.34,2.75,3.59,3.9,4.4,4.81
2.11,2.34,2.77,3.62,3.94,4.49,4.94
2.08,2.3,2.7,3.53,3.82,4.39,4.86
2.08,2.3,2.7,3.54,3.84,4.42,4.91
2.08,2.3,2.71,3.58,3.92,4.53,4.98
2.08,2.3,2.71,3.58,3.9,4.56,4.99
2.08,2.3,2.7,3.57,3.89,4.52,4.95
2.07,2.28,2.66,3.51,3.84,4.46,4.91
2.07,2.28,2.65,3.5,3.84,4.47,4.93
2.07,2.28,2.67,3.54,3.85,4.52,4.96
2.07,2.28,2.67,3.55,3.84,4.49,4.94
2.07,2.28,2.67,3.53,3.82,4.42,4.88
2.06,2.27,2.64,3.47,3.74,4.35,4.81
2.06,2.27,2.65,3.5,3.77,4.43,4.83
2.07,2.28,2.68,3.55,3.85,4.53,4.94
2.07,2.28,2.68,3.55,3.83,4.52,4.95
2.07,2.28,2.7,3.57,3.87,4.56,4.98
2.07,2.28,2.69,3.56,3.85,4.54,4.97
2.06,2.27,2.67,3.52,3.8,4.49,4.93
2.06,2.27,2.67,3.52,3.78,4.48,4.94
2.06,2.27,2.67,3.52,3.76,4.46,4.94
2.06,2.27,2.68,3.54,3.8,4.49,4.97
2.06,2.27,2.68,3.53,3.77,4.45,4.94
2.06,2.27,2.68,3.53,3.76,4.41,4.91
2.06,2.27,2.68,3.53,3.75,4.4,4.9
2.05,2.26,2.66,3.49,3.66,4.32,4.84
2.05,2.25,2.65,3.48,3.62,4.3,4.83
2.04,2.24,2.63,3.45,3.58,4.26,4.81
2.04,2.24,2.65,3.48,3.61,4.27,4.82
2.05,2.25,2.68,3.56,3.7,4.32,4.86
2.05,2.25,2.69,3.57,3.71,4.32,4.86
2.05,2.26,2.72,3.61,3.79,4.43,4.93
2.05,2.24,2.69,3.53,3.69,4.37,4.89
2.05,2.24,2.7,3.54,3.71,4.44,4.96
2.05,2.24,2.68,3.5,3.64,4.36,4.9
2.06,2.26,2.74,3.61,3.77,4.46,4.97
2.06,2.26,2.75,3.63,3.79,4.48,4.98
2.06,2.26,2.75,3.61,3.78,4.48,4.99
